match_no,stream,source_url,notes
1,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
2,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
3,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
4,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
5,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
6,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
7,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
8,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
9,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
10,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
11,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
12,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
13,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
14,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
15,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
16,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
17,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
18,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
19,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
20,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
21,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
22,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
23,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
24,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
25,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
26,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
27,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
28,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
29,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
30,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
31,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
32,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
33,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
34,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
35,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
36,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
37,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
38,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
39,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
40,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
41,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
42,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
43,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
44,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
45,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
46,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
47,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
48,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
49,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
50,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
51,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
52,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
53,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
54,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
55,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
56,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
57,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
58,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
59,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
60,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
61,ZDF,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ZDF Mediathek + MagentaTV
62,MagentaTV only,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: MagentaTV
63,ARD,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Mapped from full fixture table; original: ARD Mediathek + MagentaTV
